Grid Size ,32
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,80.57885742,80.57897949,0,-1248.97314453,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
0,1,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,1,0,1,80.57885742,80.57897949,0,-1248.97314453,-1168.39398193,0
0,0,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
0,1,0,1,80.57885742,80.57897949,0,-1248.97314453,-1168.39398193,0
0,1,0,0,80.57885742,80.57897949,0,-1248.97314453,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
0,1,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,1,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,0,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
0,1,1,1,80.57897949,80.57897949,0,-1168.39422607,-1168.39398193,0
0,1,1,0,80.57885742,80.57897949,0,-1168.39428711,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
0,1,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,1,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,0,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
0,1,2,1,80.57885742,80.57885742,0,-1087.81530762,-1168.39404297,0
0,1,2,0,80.57885742,80.57897949,0,-1087.81542969,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
0,1,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,1,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,0,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
0,1,3,1,80.578857426,80.57885742,0,-1007.2364502,-1168.39404297,0
0,1,3,0,80.57891846,80.57897949,0,-1007.23654175,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
0,1,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,1,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,0,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
0,1,4,1,80.578857421,80.57885742,0,-926.657592773,-1168.39404297,0
0,1,4,0,80.578918457,80.57897949,0,-926.657623291,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
0,1,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,1,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,0,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
0,1,5,1,80.578918458,80.57885742,0,-846.078704834,-1168.39404297,0
0,1,5,0,80.578918458,80.57897949,0,-846.078704834,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
0,1,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,1,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,0,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
0,1,6,1,80.578918457,80.57885742,0,-765.499786376,-1168.39404297,0
0,1,6,0,80.578918457,80.57897949,0,-765.499786376,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
0,1,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,1,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,0,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
0,1,7,1,80.578857421,80.57885742,0,-684.920898438,-1168.39404297,0
0,1,7,0,80.578857421,80.57897949,0,-684.920898438,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
0,1,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,1,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,0,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
0,1,8,1,80.578918457,80.57885742,0,-604.342010499,-1168.39404297,0
0,1,8,0,80.578918457,80.57897949,0,-604.342010499,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
0,1,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,1,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,0,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
0,1,9,1,80.578918457,80.57885742,0,-523.763092041,-1168.39404297,0
0,1,9,0,80.578918457,80.57897949,0,-523.763092041,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
0,1,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,1,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,0,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
0,1,10,1,80.578918458,80.57885742,0,-443.184173584,-1168.39404297,0
0,1,10,0,80.578918458,80.57897949,0,-443.184173584,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,80.578933715,80.57897949,0,-282.02632904,-1248.97296143,0
0,1,12,1,80.578918457,80.57885742,0,-282.026306153,-1168.39404297,0
0,1,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,0,12,0,80.578933715,80.57897949,0,-282.02632904,-1248.97296143,0
0,1,11,1,80.578948974,80.57885742,0,-362.605239868,-1168.39404297,0
0,1,11,0,80.578918457,80.57897949,0,-362.605255126,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,80.578918457,80.57897949,0,-201.447402954,-1248.97296143,0
0,1,13,1,80.578903198,80.57885742,0,-201.447395325,-1168.39404297,0
0,1,12,1,80.578918457,80.57885742,0,-282.026306153,-1168.39404297,0
0,0,13,0,80.578918457,80.57897949,0,-201.447402954,-1248.97296143,0
0,1,12,1,80.578918457,80.57885742,0,-282.026306153,-1168.39404297,0
0,1,12,0,80.578933715,80.57897949,0,-282.02632904,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,14,0,80.5789184574,80.57897949,0,-120.868484497,-1248.97296143,0
0,1,14,1,80.5789260868,80.57885742,0,-120.868480683,-1168.39404297,0
0,1,13,1,80.578903198,80.57885742,0,-201.447395325,-1168.39404297,0
0,0,14,0,80.5789184574,80.57897949,0,-120.868484497,-1248.97296143,0
0,1,13,1,80.578903198,80.57885742,0,-201.447395325,-1168.39404297,0
0,1,13,0,80.578918457,80.57897949,0,-201.447402954,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,15,0,80.5789196053,80.57897949,0,-40.289565466,-1248.97296143,0
0,1,15,1,80.5790166556,80.57885742,0,-40.2895093114,-1168.39404297,0
0,1,14,1,80.5789260868,80.57885742,0,-120.868480683,-1168.39404297,0
0,0,15,0,80.5789196053,80.57897949,0,-40.289565466,-1248.97296143,0
0,1,14,1,80.5789260868,80.57885742,0,-120.868480683,-1168.39404297,0
0,1,14,0,80.5789184574,80.57897949,0,-120.868484497,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,16,0,80.5789173088,80.57897949,0,40.2893529911,-1248.97296143,0
0,1,16,1,80.5788202585,80.57885742,0,40.2894091456,-1168.39404297,0
0,1,15,1,80.5790166556,80.57885742,0,-40.2895093114,-1168.39404297,0
0,0,16,0,80.5789173088,80.57897949,0,40.2893529911,-1248.97296143,0
0,1,15,1,80.5790166556,80.57885742,0,-40.2895093114,-1168.39404297,0
0,1,15,0,80.5789196053,80.57897949,0,-40.289565466,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,17,0,80.5789184575,80.57897949,0,120.868270874,-1248.97296143,0
0,1,17,1,80.5789108281,80.57885742,0,120.868274689,-1168.39404297,0
0,1,16,1,80.5788202585,80.57885742,0,40.2894091456,-1168.39404297,0
0,0,17,0,80.5789184575,80.57897949,0,120.868270874,-1248.97296143,0
0,1,16,1,80.5788202585,80.57885742,0,40.2894091456,-1168.39404297,0
0,1,16,0,80.5789173088,80.57897949,0,40.2893529911,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,80.578918457,80.57897949,0,201.447189332,-1248.97296143,0
0,1,18,1,80.578918457,80.57885742,0,201.447189332,-1168.39404297,0
0,1,17,1,80.5789108281,80.57885742,0,120.868274689,-1168.39404297,0
0,0,18,0,80.578918457,80.57897949,0,201.447189332,-1248.97296143,0
0,1,17,1,80.5789108281,80.57885742,0,120.868274689,-1168.39404297,0
0,1,17,0,80.5789184575,80.57897949,0,120.868270874,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,19,0,80.578903198,80.57897949,0,282.026100159,-1248.97296143,0
0,1,19,1,80.578903198,80.57885742,0,282.026100159,-1168.39404297,0
0,1,18,1,80.578918457,80.57885742,0,201.447189332,-1168.39404297,0
0,0,19,0,80.578903198,80.57897949,0,282.026100159,-1248.97296143,0
0,1,18,1,80.578918457,80.57885742,0,201.447189332,-1168.39404297,0
0,1,18,0,80.578918457,80.57897949,0,201.447189332,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,20,0,80.578918457,80.57897949,0,362.605010986,-1248.97296143,0
0,1,20,1,80.578918457,80.57885742,0,362.605010986,-1168.39404297,0
0,1,19,1,80.578903198,80.57885742,0,282.026100159,-1168.39404297,0
0,0,20,0,80.578918457,80.57897949,0,362.605010986,-1248.97296143,0
0,1,19,1,80.578903198,80.57885742,0,282.026100159,-1168.39404297,0
0,1,19,0,80.578903198,80.57897949,0,282.026100159,-1248.97296143,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
